dialog_id,utterance_index,speaker,text
CCPE-6faee,6,ASSISTANT,Why did you like that movie?
CCPE-6faee,7,USER,Had some amazing one-liners that still get used today even though the movie was made awhile ago.
CCPE-6faee,8,ASSISTANT,"Well, is there a movie you did not like?"
CCPE-6faee,9,USER,I don't like RV.
CCPE-6faee,10,ASSISTANT,Why not?
CCPE-6faee,11,USER,And I just didn't It was just so slow and boring. I didn't like it.
CCPE-6faee,12,ASSISTANT,"Ok, then have you seen the movie Jurassic World: Fallen Kingdom"
CCPE-6faee,13,USER,I have seen the movie Jurassic World: Fallen Kingdom.
CCPE-6faee,14,ASSISTANT,What is it about these kinds of movies that you like or dislike?
CCPE-6faee,15,USER,"I really like the actors. I feel like they were doing their best to make the movie better. And I just really like the scenery, and the the dinosaurs were awesome."
CCPE-7b5bd,0,ASSISTANT,Hello. What kind of movies do you like?
CCPE-7b5bd,1,USER,Hello. I like horror movies.
CCPE-7b5bd,2,ASSISTANT,can you give two reasons why you like horror movies
CCPE-7b5bd,3,USER,"I like to feel that inside of you that scares you to death, but you still want to continue watching the movie. I like when I feel goosies all over my arms, you know? That's the reason why I like it."
CCPE-7b5bd,4,ASSISTANT,Can you name a particular movie that you like?
CCPE-7b5bd,5,USER,Saw
CCPE-7b5bd,6,ASSISTANT,What are the 2 reasons you like Saw?
CCPE-7b5bd,7,USER,"Because it was sad, it was a horror movie and it was like playing a game, you want to play a game with me and they will catch people and put them in a home let's say in a house and they will lock them and they need to find the way to leave. But in order to leave a place they will have to end up dead."
CCPE-7b5bd,8,ASSISTANT,Can you name a movie that you do not like?
CCPE-7b5bd,9,USER,But I do like all the movies.
CCPE-7b5bd,10,ASSISTANT,"Surely, there must be one movie you can't stand or thought was poorly done"
CCPE-7b5bd,11,USER,Let me think.
CCPE-7b5bd,12,USER,"Well, I don't know. Emily Rose, maybe. Emily Rose."
CCPE-7b5bd,13,ASSISTANT,What are the 2 things that you dislike about this movie?
CCPE-7b5bd,14,USER,"It was fake. You could tell that it was poorly made, and I didn't get scared at all."
CCPE-7b5bd,15,ASSISTANT,Do you like the movie Aliens?
CCPE-7b5bd,16,USER,I have not watched that movie.
CCPE-7b5bd,17,ASSISTANT,What about Hunger Games?
CCPE-7b5bd,18,USER,"I have not watched that movie, either."
CCPE-7b5bd,19,ASSISTANT,How about the Matrix?
CCPE-7b5bd,20,USER,I did watch it.
CCPE-7b5bd,21,ASSISTANT,How did you feel about it?
CCPE-7b5bd,22,USER,"kind of cool, but not my cup of tea."
CCPE-7b5bd,23,ASSISTANT,What 2 things were kinda cool about it?
CCPE-7b5bd,24,ASSISTANT,Do you like the movie Dunkirk?
CCPE-7b5bd,25,USER,I have not watched that movie.
CCPE-7b5bd,26,ASSISTANT,How about Wonder Woman?
CCPE-7b5bd,27,USER,Oh yeah. I watched that movie.
CCPE-7b5bd,28,ASSISTANT,How did you feel about it?
CCPE-7b5bd,29,USER,"I loved it because it was a woman, the powerful one in the movie, finally. And it's always just the guy doing everything, you know what I'm saying?"
CCPE-7b5bd,30,ASSISTANT,One last question.... what 2 other things do you like about the movie in particular?
CCPE-7b5bd,31,USER,"She was very beautiful, her hair was amazing."
CCPE-7b5bd,32,ASSISTANT,anything about the plot that you like?
CCPE-7b5bd,33,USER,The way she will fight it was interesting.
CCPE-fc882,0,ASSISTANT,What kind of movies are you drawn to?
CCPE-fc882,1,USER,I am drawn to romances.
CCPE-fc882,2,ASSISTANT,Have you seen Fifty Shade of Grey?
CCPE-fc882,3,USER,I have not.
CCPE-fc882,4,USER,"I know of it very well, but I have not seen it."
CCPE-fc882,5,ASSISTANT,What was a movie that you last watched that surprised you?
CCPE-fc882,6,USER,Maybe White House Down was surprising for me.
CCPE-fc882,7,ASSISTANT,What made you like the movie?
CCPE-fc882,8,USER,"I didn't go into it with high expectations at all. I thought it was just going to be I don't know, a lot of blowing up, pretty dumb, but was it It was I think when I watched it, it was summer day or summer night where almost nothing seemed to be on cable, and I was just looking for something to watch, and I thought, oh, okay, it stars Channing Tatum. I'll watch that. Or I'll turn to that. I probably won't be there for too long. It ended up being a ton of fun."
CCPE-fc882,9,USER,"It was like a new version of Die Hard. They had a lot of fun with the movie. And despite it being like unrealistic and they're blowing things up, it was great. It was just a really fun hour and a half."
CCPE-fc882,10,ASSISTANT,Have you seen Dawn of the Planet of the Apes?
CCPE-fc882,11,USER,No.
CCPE-fc882,12,ASSISTANT,Have you seen Avatar?
CCPE-fc882,13,USER,Yeah.
CCPE-fc882,14,ASSISTANT,What didnt you like about that movie?
CCPE-fc882,15,USER,"You know, epics like that are a hard sell for me. It's very long. I wasn't nearly as charmed by the blue people that they were that most other people were. I don't know. It seemed to be lacking in finesse and It just seemed very over the top. It really did seem like an event movie, and maybe if I had seen it in the theater, I would have sort of fallen in love with it like other people did, but"
CCPE-fc882,16,USER,It just It was underwhelming. The direction wasn't nearly as good as I thought it was going to be and I just thought it was going to be something more exciting and more appealing that it ended up being for me.
CCPE-fc882,17,ASSISTANT,Have you seen John Wick?
CCPE-fc882,18,USER,"No, but I know I know what that movie is, yeah."
CCPE-fc882,19,ASSISTANT,Have you seen Halloween?
CCPE-fc882,20,USER,"I mean, sure."
CCPE-fc882,21,ASSISTANT,What do you like about the Halloween movies?
CCPE-fc882,22,USER,"I don't like the Halloween movies. I don't like scary movies. So, when I watched that that was just like at a party with friends. And that's what they wanted to watch. I just don't enjoy scaring myself like that. So, the first Halloween the one that originally has Jamie Curtis from back in the day, that is a much better movie than the other Halloweens were. But, I still They are still not my favorite. Too scary."
CCPE-fc882,23,USER,"and outside of the first one. And apparently I ha I haven't seen up the most recent one that is sort of a direct sequel to the first one. Those That is a lot of gore, a lot of blood, a lot of trying to scare and not a lot of story line in movie."
CCPE-fc882,24,ASSISTANT,"Thank you for your input, have a great day!"
CCPE-fc882,25,USER,"Thank you, too."
CCPE-1f5ec,0,ASSISTANT,hello. What type of movies do you like?
CCPE-1f5ec,1,USER,I usually like action drama movies.
CCPE-1f5ec,2,ASSISTANT,what do you like about those genres?
CCPE-1f5ec,3,USER,"Well, I like watching fast paced movies and I also like watching movies that have well developed story lines and characters."
CCPE-1f5ec,4,ASSISTANT,okay. so do you like movies like star wars?
CCPE-1f5ec,5,USER,"Yeah, so I like movies like Star Wars."
CCPE-1f5ec,6,ASSISTANT,what do you like about movies like that?
CCPE-1f5ec,7,USER,"Movies like that tend to have very well developed universes, lots of characters, lots going on, lots to do with the story."
CCPE-1f5ec,8,ASSISTANT,What type of movies do you not like?
CCPE-1f5ec,9,USER,I'm not too big on comedy movies.
CCPE-1f5ec,10,ASSISTANT,why is that?
CCPE-1f5ec,11,USER,I feel that the humor in comedy tends to be -- mostly a miss with me when i watch them in movies. They tend to be very topical humor. Mostly humor that just doesn't appeal to my interests.
CCPE-1f5ec,12,ASSISTANT,what type of humor do you prefer?
CCPE-1f5ec,13,USER,"I usually prefer dark humor and humor that's kind of well thought out, well developed."
CCPE-1f5ec,14,ASSISTANT,Do you like movies like Good Will Hunting?
CCPE-1f5ec,15,USER,"Yes, I like movies like Good Will Hunting."
CCPE-1f5ec,16,ASSISTANT,what do you like about movies similar to good will hunting?
CCPE-1f5ec,17,USER,Movies like that tend to have humor that's very witty and sharp.
CCPE-1f5ec,18,ASSISTANT,okay. thanks for your help
CCPE-2d67c,0,ASSISTANT,Do you like movies like Star Wars; or Trainwreck or Spotlight
CCPE-2d67c,1,USER,"I like movies like Spotlight, so I'm looking for something that's meaningful like a good Spotlight kind of a movie."
CCPE-2d67c,2,ASSISTANT,Ok. What is it about this type of movie that you like the most?
CCPE-2d67c,3,USER,"The connection between being young, gay and black."
CCPE-2d67c,4,ASSISTANT,Can you say a little more about that please?
CCPE-2d67c,5,USER,I like that it highlights being African American and what it means to be gay and like all the hardships that go along with that because of it.
CCPE-2d67c,6,ASSISTANT,Anything about this type of movie that you dislike?
CCPE-2d67c,7,USER,It's too short. I want it to be longer maybe some comedy inside of it also.
CCPE-2d67c,8,ASSISTANT,Do you like movies like Star Wars; or........... Trainwreck?
CCPE-2d67c,9,USER,Star Wars
CCPE-2d67c,10,ASSISTANT,Ok. What is it about this type of movie that you like?
CCPE-2d67c,11,USER,"It's action-packed, and it deals with like a lot of science fiction, but also like reality."
CCPE-2d67c,12,ASSISTANT,Is there anything about this type of movie that you dislike?
CCPE-2d67c,13,USER,"It's really high budget. It could be a little bit less budget. It could be a little bit slower paced, but it's really fast."
CCPE-2d67c,14,ASSISTANT,have a you seen Trainwreck? if so did you like it ?
CCPE-2d67c,15,USER,"Yes, that was really funny."
CCPE-2d67c,16,USER,Pretty cool.
CCPE-2d67c,17,ASSISTANT,what is it about this type of movie that you like?
CCPE-2d67c,18,USER,"I like the actors, and I like that there's conversations between the main characters and the slot part of the characters, and that it's just like a cool funny movie and relates to everyone."
CCPE-2d67c,19,ASSISTANT,anything else?
CCPE-2d67c,20,USER,That's all.
CCPE-2d67c,21,ASSISTANT,Ok. Anything about this type of movie that you dislike?
CCPE-2d67c,22,USER,"Not really. I mean it's short, it could be longer, it could be more people of color inside of the movie but that's about it."
CCPE-2d67c,23,ASSISTANT,Alright. Thank you for the information.
CCPE-ea931,0,ASSISTANT,What type of movies do you like?
CCPE-ea931,1,USER,I like comedies a lot.
CCPE-ea931,2,ASSISTANT,OK. Great. Why do you like comedies?
CCPE-ea931,3,USER,I like the I like to laugh. I like the lighthearted nature of comedies. They kind of make you happy. There's nothing depressing about them. So you're always in a good mood after you watch them.
CCPE-ea931,4,ASSISTANT,"Interesting, what is your favorite movie ?"
CCPE-ea931,5,USER,Probably The First Wives Club.
CCPE-ea931,6,ASSISTANT,What is it about this type of movie that you like?
CCPE-ea931,7,USER,This movie is The cast is superb and about It's perfect as it gets for what they were going for. It's very original and just hilarious. You kind of don't know what's going to happen from moment to moment as they try to get revenge and rebuild their lives but it's a lot of fun and just You laugh throughout the entire movie.
CCPE-ea931,8,ASSISTANT,"Well, have you seen Bridesmaids?"
CCPE-ea931,9,USER,I have.
CCPE-ea931,10,ASSISTANT,Can you say why you like that type of movie?
CCPE-ea931,11,USER,"Sure. Bridesmaids Actually, not too dissimilar in terms of what it's going for with First Wives Club, that was a really funny movie with a great cast, and it was doing things a little bit differently in that it was sort of like laugh out loud, bawdy comedy, but all starring all women, which was new at the time. So But it's It's a great movie with a The writing is great. Very funny."
CCPE-ea931,12,USER,"But, also pretty original which was nice."
CCPE-b3812,0,ASSISTANT,What kinds of movies do you like?
CCPE-b3812,1,USER,I like a romantic comedies.
CCPE-b3812,2,ASSISTANT,What about romantic comedy do you like?
CCPE-b3812,3,USER,"I like when it makes me laugh, and also the romance story line. I like movies with a happy ever after."
CCPE-b3812,4,ASSISTANT,"Awesome, Can you name a romantic comedy that you liked?"
CCPE-b3812,5,USER,I liked Bridesmaids.
CCPE-b3812,6,ASSISTANT,"And, why did you like Bridesmaids?"
CCPE-b3812,7,USER,"It was funny and there was also some romance in it, so it was perfect."
CCPE-b3812,8,ASSISTANT,"OK, well how about a movie you did not like?"
CCPE-b3812,9,USER,I didn't really like Crazy Stupid Love.
CCPE-b3812,10,ASSISTANT,What about these kinds of movie did you not like?
CCPE-b3812,11,USER,It was just a bit boring and not very funny.
CCPE-b3812,12,ASSISTANT,"alright, have you seen To All the Boys I've Loved Before"
CCPE-b3812,13,USER,"Yes, I've seen it."
CCPE-b3812,14,ASSISTANT,What is it about this movie did you like?
CCPE-b3812,15,USER,"I thought that the actors were very good and it was interesting. Had a good storyline, and it was really romantic but also funny in parts."
CCPE-b10f3,0,ASSISTANT,I'd like to discuss your movie preferences.
CCPE-b10f3,1,USER,Okay. I generally prefer comedies.
CCPE-b10f3,2,ASSISTANT,what do you like about comedies?
CCPE-b10f3,3,ASSISTANT,"nice, so you think they are good distractions?"
CCPE-b10f3,4,USER,"Yeah. Yeah. In moderation, they are."
CCPE-b10f3,5,ASSISTANT,can you name a comedy that you really liked?
CCPE-b10f3,6,USER,"Yeah, Superbad."
CCPE-b10f3,7,ASSISTANT,what did you like about it?
CCPE-b10f3,8,USER,I like the acting the actors that were in it.
CCPE-b10f3,9,ASSISTANT,what kind of movies you dislike?
CCPE-b10f3,10,USER,Let's say action movies.
CCPE-b10f3,11,USER,Just because they're typically a little too over the top for me until I become immersed in it.
CCPE-b10f3,12,ASSISTANT,can you name a movie that you did not like?
CCPE-b10f3,13,USER,Not off the top of my head.
CCPE-b10f3,14,ASSISTANT,have you seen the grinch?
CCPE-b10f3,15,USER,"Yeah, like years and years ago."
CCPE-b10f3,16,ASSISTANT,did you like it?
CCPE-b10f3,17,USER,I liked it at the time. I definitely liked it.
CCPE-b10f3,18,ASSISTANT,what did you like about this movie?
CCPE-b10f3,19,USER,That was funny. I'm pretty sure it was the one with Jim Carrey in it. He played the good Grinch.
CCPE-6b63b,0,ASSISTANT,What type of movies do you enjoy?
CCPE-6b63b,1,USER,"From time to time, I really like to watch some indie films."
CCPE-6b63b,2,ASSISTANT,What appeals to you with these type of movies?
CCPE-6b63b,3,USER,"They usually have off pitch stories and interesting characters. So, it's kind of off the beaten path."
CCPE-6b63b,4,ASSISTANT,Is there a specific movie you enjoy from this genre?
CCPE-6b63b,5,USER,One that comes to mind is Oldboy.
CCPE-6b63b,6,ASSISTANT,What did you like about this movie?
CCPE-6b63b,7,USER,"It was really It was really crazy. I mean, just there's a lot of crazy things that happen in it. And the you know It was just a really intriguing story."
CCPE-6b63b,8,ASSISTANT,Are there any type of movies that you don't enjoy?
CCPE-6b63b,9,USER,"Yeah, I'm not a huge fun of of live action family movies."
CCPE-6b63b,10,ASSISTANT,What about these movies is unappealing?
CCPE-6b63b,11,USER,"They're usually just too silly for me to take seriously. I You know, the plots are usually one-dimensional."
CCPE-6b63b,12,ASSISTANT,Is there a specific movie that you heavily dislike?
CCPE-6b63b,13,USER,A movie that I heavily dislike? Let me think for a minute. I think something like
CCPE-6b63b,14,USER,Like Beauty and the Beast.
CCPE-6b63b,15,ASSISTANT,What do you dislike about this movie?
CCPE-6b63b,16,USER,"I I thought it was not a good remake of the original animation. I thought the I thought the It just uses so much CG that it just might as well be animated. And if you're going to animate it, you may as well watch the original movie."
CCPE-6b63b,17,ASSISTANT,Have you seen Murder on the Orient Express
CCPE-6b63b,18,USER,"I have not seen that, but I have heard of it."
CCPE-6b63b,19,ASSISTANT,Have you seen The Matrix
CCPE-6b63b,20,USER,"Yeah, I've definitely seen The Matrix."
CCPE-6b63b,21,ASSISTANT,What did you enjoy or not enjoy about this movie?
CCPE-6b63b,22,USER,"When I originally saw it, I really liked the kind of the world the world-building that was created. Like like, you know, there's this whole world beneath our world. There's the whole matrix, right? There's reality, and then there's the matrix. I really liked how they explored that topic."
CCPE-6b63b,23,ASSISTANT,Thank you for your help and have a wonderful day!
CCPE-2579b,0,ASSISTANT,What type of movies do you enjoy?
CCPE-2579b,1,USER,action
CCPE-2579b,2,ASSISTANT,Is there a specific movie you enjoy from this genre?
CCPE-2579b,3,USER,"Yes, there's many actually."
CCPE-2579b,4,USER,I like The Day After Tomorrow
CCPE-2579b,5,ASSISTANT,What did you like about this movie?
CCPE-2579b,6,USER,"It was suspenseful, had a lot of action in it, a lot of death. It was dark."
CCPE-2579b,7,ASSISTANT,Are there any type of movies that you don't enjoy?
CCPE-2579b,8,USER,"Yes, I'm not into Disney movies per say."
CCPE-2579b,9,USER,"Kid movies, I don't like."
CCPE-2579b,10,ASSISTANT,What about these movies is unappealing?
CCPE-2579b,11,USER,For me at my age they're kind of boring.
CCPE-2579b,12,USER,They don't relate to me.
CCPE-2579b,13,ASSISTANT,Is there a specific movie that you heavily dislike?
CCPE-2579b,14,USER,"Yeah The Lion King, I don't like that movie. boring"
CCPE-2579b,15,ASSISTANT,What do you dislike about this movie?
CCPE-2579b,16,USER,Boring.
CCPE-2579b,17,ASSISTANT,Have you seen the shawshank redemption
CCPE-2579b,18,USER,I have.
CCPE-2579b,19,ASSISTANT,What did you enjoy or not enjoy about this movie?
CCPE-2579b,20,USER,I enjoyed that movie about an innocent man that goes to prison.
CCPE-2579b,21,ASSISTANT,Thank you for your help and have a wonderful day!
CCPE-70fc4,0,ASSISTANT,Do you like movies like The Hunger Games?
CCPE-70fc4,1,USER,"Yes, I do."
CCPE-70fc4,2,ASSISTANT,Ok. What is it about this type of movie that you like?
CCPE-70fc4,3,USER,I like that it has a lot of action.
CCPE-70fc4,4,ASSISTANT,so do you like action movies like jason bourne?
CCPE-70fc4,5,USER,I do like action movies. I'm actually not a huge fan of the the Bourne series.
CCPE-70fc4,6,ASSISTANT,Ok. What is it about this type of series that you dislike?
CCPE-70fc4,7,USER,"I think I actually dislike kind of the seriousness of them, and also they're really long, and they tend to have a lot of aspects to them that if you're not paying super close attention to, you kind of miss them. Like they're They're kind of movies that you have to watch a few times to actually get them."
CCPE-70fc4,8,ASSISTANT,Do you like movies like Thor?
CCPE-70fc4,9,USER,"Yes, I love Thor."
CCPE-70fc4,10,ASSISTANT,have you seen the newest avengers movie?
CCPE-70fc4,11,USER,"I have, yeah. Infinity Wars was awesome."
CCPE-70fc4,12,ASSISTANT,Ok. What is it about this type of movie that you like?
CCPE-70fc4,13,USER,I like that there's a lot of powers and fantasy.
CCPE-70fc4,14,ASSISTANT,ok. thank you
CCPE-59f72,0,ASSISTANT,what are some movie genres that you like?
CCPE-59f72,1,USER,"I really enjoy animated movies, romantic comedies, and thrillers."
CCPE-59f72,2,ASSISTANT,why romantic comedies?
CCPE-59f72,3,USER,"They usually tend to be feel-good type movies with happy endings, and I really like a happy ending."
CCPE-59f72,4,ASSISTANT,What is one of your favorite movies?
CCPE-59f72,5,USER,Pretty Woman
CCPE-59f72,6,ASSISTANT,what did you like about that movie?
CCPE-59f72,7,USER,"I really liked the comedy factor, and I think the chemistry between Richard Gere and Julia Roberts was just spot on. The writing was excellent. And I just think the movie was all around outstanding. I I just think it was really well made."
CCPE-59f72,8,ASSISTANT,What type of movies do you not like?
CCPE-59f72,9,USER,science fiction movies
CCPE-59f72,10,USER,the the superhero movies types like that
CCPE-59f72,11,ASSISTANT,have you seen the movie Love Actually?
CCPE-59f72,12,USER,I don't think I have.
CCPE-59f72,13,USER,Who's in that one?
CCPE-59f72,14,ASSISTANT,let me check
CCPE-59f72,15,USER,Great.
CCPE-59f72,16,ASSISTANT,Starring Hugh Grant Liam Neeson Colin Firth
CCPE-59f72,17,USER,"No. You know what, I haven't seen that one."
CCPE-59f72,18,ASSISTANT,what about 500 Days of Summer?
CCPE-59f72,19,USER,No. I haven't seen that one.
CCPE-59f72,20,ASSISTANT,what about the holiday?
CCPE-59f72,21,USER,"Yes, I've seen that one. That's a good one."
CCPE-59f72,22,ASSISTANT,What did you like about this kind of movie?
CCPE-59f72,23,USER,What did you like about
CCPE-59f72,24,USER,"I really liked the all-star cast in it, and instead of there being one star, it was an ensemble cast. I really enjoyed that."
CCPE-59f72,25,ASSISTANT,have you seen 13 going on 30?
CCPE-59f72,26,USER,"Yes, really cute movie."
CCPE-59f72,27,ASSISTANT,what else did u like about this kind of movie?
CCPE-59f72,28,USER,"I liked that it was like a fantasy but not too farfetched. It was It was really cute. And I think Jennifer Garner is the perfect actress to have played the part of the lead because her humor just really fit well with this type of movie, and I just thought it was really just really cute and enjoyable."
CCPE-59f72,29,ASSISTANT,okay. thank you
CCPE-59f72,30,USER,Sure. Thanks a lot.
CCPE-60cf4,0,ASSISTANT,What kind of movies do you like?
CCPE-60cf4,1,USER,action movies.
CCPE-60cf4,2,ASSISTANT,What kind of action movies do you like?
CCPE-60cf4,3,USER,Hunger Games
CCPE-60cf4,4,ASSISTANT,What do you like about Hunger Games?
CCPE-60cf4,5,USER,"The live action of it and the storytelling, and just how it's just like out of this world. It's kind of my favorite genre, and I love it."
CCPE-60cf4,6,ASSISTANT,What about X-Men: Apocalypse?
CCPE-60cf4,7,USER,"Yeah, loved that. It's one of my favorites. Live action is so fun."
CCPE-60cf4,8,ASSISTANT,What about The Spy Who Dumped Me?
CCPE-60cf4,9,USER,"Yep, love that one, too. I like that it's funny, and it's cool, and I would see that, definitely."
CCPE-60cf4,10,ASSISTANT,Have you seen Halloween?
CCPE-60cf4,11,USER,"I haven't seen it yet, but I want to."
CCPE-60cf4,12,ASSISTANT,What kind of movies are you not looking for?
CCPE-60cf4,13,USER,I don't want see any romance movies. That's not my good type of movies. I hate romantic comedies.
CCPE-60cf4,14,ASSISTANT,What do you dislike about Romantic Comedies?
CCPE-60cf4,15,USER,"I'm single, and it makes me depressed, and I just don't think it's a realistic expectation of what's really going to go on in the world."
CCPE-60cf4,16,ASSISTANT,"Thank you for your input, have a nice day"
CCPE-60cf4,17,USER,Thank you.
CCPE-55417,0,ASSISTANT,What kinds of movies do you like?
CCPE-55417,1,USER,I really like romance movies.
CCPE-55417,2,ASSISTANT,"Well, tell me why do you like romance movies?"
CCPE-55417,3,USER,"Just really pulls at my heart strings and, you know, makes me wish sometimes I can be in that situation."
CCPE-55417,4,ASSISTANT,"cool, what is your favorite movie?"
CCPE-55417,5,USER,My favorite movie would probably be sunshine and the eternal mind.
CCPE-55417,6,ASSISTANT,"alright, Why is that your favorite movie?"
CCPE-55417,7,USER,"It's just a roller coaster of emotions, and the story's great. And just get to experience a lot of emotions throughout the movie."
CCPE-55417,8,ASSISTANT,"Interesting, is there a movie you do not like?"
CCPE-55417,9,USER,I really don't like 50 First Dates.
CCPE-55417,10,ASSISTANT,"oh, Why not?"
CCPE-55417,11,USER,"It just felt really repetitive. Like experiencing the same day every day. Just There wasn't really anything new, and I just felt bad for the main character."
CCPE-55417,12,ASSISTANT,"Ok, then have you seen the movie The Spy Who Dumped Me"
CCPE-55417,13,USER,I have not.
CCPE-55417,14,ASSISTANT,have you heard of it?
CCPE-55417,15,USER,I have not.
CCPE-55417,16,USER,"I have heard of it, but I have not seen it."
