movie_id,raw_title,genres,title,year
6206,Les vampires (1915),Action|Adventure|Crime|Drama|Mystery|Thriller,Les vampires,1915
6333,"20,000 Leagues Under the Sea (1916)",Action|Adventure|Sci-Fi,"20,000 Leagues Under the Sea",1916
6414,Behind the Screen (1916),Short|Comedy|Romance,Behind the Screen,1916
6437,The Blacklist (1916),Drama,The Blacklist,1916
6684,The Fireman (1916),Short|Comedy,The Fireman,1916
6689,The Floorwalker (1916),Short|Comedy,The Floorwalker,1916
6864,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|History,Intolerance: Love's Struggle Throughout the Ages,1916
7145,One A.M. (1916),Comedy|Family|Short,One A.M.,1916
7162,The Pawnshop (1916),Comedy|Short,The Pawnshop,1916
7264,The Rink (1916),Comedy|Short,The Rink,1916
7340,Shoes (1916),Drama,Shoes,1916
7507,The Vagabond (1916),Short|Comedy|Romance,The Vagabond,1916
7832,The Cure (1917),Short|Comedy,The Cure,1917
7880,Easy Street (1917),Short|Comedy,Easy Street,1917
8133,The Immigrant (1917),Short|Comedy|Drama|Romance,The Immigrant,1917
8395,Otets Sergiy (1918),Biography|Drama|History,Otets Sergiy,1918
9018,A Dog's Life (1918),Short|Comedy|Drama,A Dog's Life,1918
9340,The Man Who Woke Up (1918),,The Man Who Woke Up,1918
9678,Take a Chance (1918),Comedy|Short,Take a Chance,1918
9893,Die Austernprinzessin (1919),Comedy,Die Austernprinzessin,1919
9968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance,Broken Blossoms or The Yellow Man and the Girl,1919
10180,Godovshchina revolyutsii (1918),Documentary,Godovshchina revolyutsii,1918
10193,The Greatest Question (1919),Drama,The Greatest Question,1919
10247,Herr Arnes pengar (1919),Drama|History,Herr Arnes pengar,1919
10258,His Royal Slyness (1920),Comedy|Short,His Royal Slyness,1920
10323,Das Cabinet des Dr. Caligari (1920),Fantasy|Horror|Mystery|Thriller,Das Cabinet des Dr. Caligari,1920
10747,Sunnyside (1919),Comedy|Short,Sunnyside,1919
10806,True Heart Susie (1919),Comedy|Drama|Romance,True Heart Susie,1919
10930,Young Mr. Jazz (1919),Comedy|Short,Young Mr. Jazz,1919
11130,Dr. Jekyll and Mr. Hyde (1920),Drama|Horror|Sci-Fi,Dr. Jekyll and Mr. Hyde,1920
11267,Headin' Home (1920),Biography|Comedy|Drama,Headin' Home,1920
11439,The Mark of Zorro (1920),Adventure|Romance|Western,The Mark of Zorro,1920
11508,Neighbors (1920),Short|Comedy|Romance,Neighbors,1920
11541,One Week (1920),Short|Comedy,One Week,1920
11607,Prästänkan (1920),Comedy|Drama|Horror,Prästänkan,1920
11656,The Scarecrow (1920),Comedy|Short|Family,The Scarecrow,1920
11717,The Son of Tarzan (1920),Action|Adventure,The Son of Tarzan,1920
11841,Way Down East (1920),Drama|Romance,Way Down East,1920
11870,Within Our Gates (1920),Drama|Romance,Within Our Gates,1920
12224,The Goat (1921),Comedy|Short,The Goat,1921
12278,The 'High Sign' (1921),Short|Comedy,The 'High Sign',1921
12349,The Kid (1921),Comedy|Drama|Family,The Kid,1921
12364,Körkarlen (1921),Drama|Fantasy|Horror,Körkarlen,1921
12494,Der müde Tod (1921),Drama|Fantasy|Thriller,Der müde Tod,1921
12532,Orphans of the Storm (1921),Drama|History|Romance,Orphans of the Storm,1921
12651,Schloß Vogeloed (1921),Crime|Drama|Horror|Mystery,Schloß Vogeloed,1921
12675,The Sheik (1921),Adventure|Drama|Romance,The Sheik,1921
12844,White and Unmarried (1921),,White and Unmarried,1921
13025,Cops (1922),Short|Comedy|Family,Cops,1922
13086,"Dr. Mabuse, der Spieler (1922)",Crime|Mystery|Thriller,"Dr. Mabuse, der Spieler",1922
13099,The Electric House (1922),Short|Comedy,The Electric House,1922
13140,Foolish Wives (1922),Drama|Thriller,Foolish Wives,1922
13257,Häxan (1922),Documentary|Fantasy|Horror,Häxan,1922
13427,Nanook of the North (1922),Documentary,Nanook of the North,1922
13442,Nosferatu (1922),Fantasy|Horror,Nosferatu,1922
13486,Pay Day (1922),Comedy|Short,Pay Day,1922
13571,Salomé (1922),Biography|Drama|History|Horror,Salomé,1922
13626,La souriante Madame Beudet (1923),Drama,La souriante Madame Beudet,1923
13741,Das Weib des Pharao (1922),Drama|History,Das Weib des Pharao,1922
13858,The Balloonatic (1923),Short|Comedy,The Balloonatic,1923
14142,The Hunchback of Notre Dame (1923),Drama|Horror|Romance,The Hunchback of Notre Dame,1923
14341,Our Hospitality (1923),Comedy|Romance|Thriller,Our Hospitality,1923
14390,En rackarunge (1924),Drama,En rackarunge,1924
14417,La roue (1923),Drama,La roue,1923
14429,Safety Last! (1923),Comedy|Thriller,Safety Last!,1923
14497,Souls for Sale (1923),Comedy|Drama|Romance,Souls for Sale,1923
14532,The Ten Commandments (1923),Biography|Drama|Fantasy,The Ten Commandments,1923
14538,Three Ages (1923),Comedy,Three Ages,1923
14624,A Woman of Paris: A Drama of Fate (1923),Drama|Romance,A Woman of Paris: A Drama of Fate,1923
14664,Alice's Spooky Adventure (1924),Animation|Short|Comedy,Alice's Spooky Adventure,1924
14872,Entr'acte (1924),Short,Entr'acte,1924
14972,He Who Gets Slapped (1924),Drama|Romance|Thriller,He Who Gets Slapped,1924
15002,Hot Water (1924),Comedy,Hot Water,1924
15016,The Iron Horse (1924),History|Romance|Western,The Iron Horse,1924
15039,Kinoglaz (1924),Documentary,Kinoglaz,1924
15064,Der letzte Mann (1924),Drama,Der letzte Mann,1924
15163,The Navigator (1924),Action|Comedy|Romance,The Navigator,1924
15174,Die Nibelungen: Kriemhilds Rache (1924),Adventure|Drama|Fantasy,Die Nibelungen: Kriemhilds Rache,1924
15175,Die Nibelungen: Siegfried (1924),Adventure|Drama|Fantasy,Die Nibelungen: Siegfried,1924
15202,Orlacs Hände (1924),Crime|Horror|Mystery|Sci-Fi|Thriller,Orlacs Hände,1924
15233,En piga bland pigor (1924),Comedy|Drama,En piga bland pigor,1924
15310,The Sea Hawk (1924),Adventure|Drama|Romance,The Sea Hawk,1924
15324,Sherlock Jr. (1924),Action|Comedy|Romance,Sherlock Jr.,1924
15361,Stachka (1925),Drama,Stachka,1925
15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance,The Thief of Bagdad,1924
15477,West of Hot Dog (1924),Short|Western|Comedy,West of Hot Dog,1924
15532,Die Abenteuer des Prinzen Achmed (1926),Animation|Adventure|Fantasy|Romance,Die Abenteuer des Prinzen Achmed,1926
15624,The Big Parade (1925),Drama|Romance|War,The Big Parade,1925
15648,Bronenosets Potyomkin (1925),Drama|History,Bronenosets Potyomkin,1925
15673,Shakhmatnaya goryachka (1925),Comedy|Short,Shakhmatnaya goryachka,1925
15768,Du skal ære din hustru (1925),Drama,Du skal ære din hustru,1925
15772,De adelaar (1925),Action|Comedy|Drama|History|Romance,De adelaar,1925
15864,The Gold Rush (1925),Adventure|Comedy|Drama|Family,The Gold Rush,1925
15881,Greed (1924),Drama|Thriller|Western,Greed,1924
16039,The Lost World (1925),Adventure|Fantasy|Sci-Fi,The Lost World,1925
16172,"Oh, Doctor! (1925)",Comedy,"Oh, Doctor!",1925
16220,The Phantom of the Opera (1925),Horror,The Phantom of the Opera,1925
16230,The Pleasure Garden (1925),Drama|Romance,The Pleasure Garden,1925
16332,Seven Chances (1925),Comedy|Romance,Seven Chances,1925
16361,Smouldering Fires (1925),Drama,Smouldering Fires,1925
16544,The Wizard of Oz (1925),Comedy|Family|Fantasy|Adventure,The Wizard of Oz,1925
16600,Along Came Auntie (1926),Comedy|Short,Along Came Auntie,1926
16654,The Black Pirate (1926),Adventure|Action,The Black Pirate,1926
16747,Crazy Like a Fox (1926),Short|Comedy,Crazy Like a Fox,1926
16847,Faust: Eine deutsche Volkssage (1926),Drama|Fantasy|Horror,Faust: Eine deutsche Volkssage,1926
16903,45 Minutes from Hollywood (1926),Short|Comedy,45 Minutes from Hollywood,1926
16954,Hell's Four Hundred (1926),,Hell's Four Hundred,1926
17075,The Lodger: A Story of the London Fog (1927),Crime|Drama|Mystery|Thriller,The Lodger: A Story of the London Fog,1927
17136,Metropolis (1927),Drama|Sci-Fi,Metropolis,1927
17196,Nana (1926),Drama|Romance,Nana,1926
17350,The Scarlet Letter (1926),Drama,The Scarlet Letter,1926
17378,Shinel (1926),Drama,Shinel,1926
17423,Sparrows (1926),Drama,Sparrows,1926
17463,3 Bad Men (1926),Romance|Western,3 Bad Men,1926
17668,Berlin: Die Sinfonie der Grosstadt (1927),Documentary,Berlin: Die Sinfonie der Grosstadt,1927
17729,Call of the Cuckoo (1927),Comedy|Short,Call of the Cuckoo,1927
17739,The Cat and the Canary (1927),Comedy|Horror|Mystery,The Cat and the Canary,1927
17765,College (1927),Comedy|Drama|Sport,College,1927
17825,Downhill (1927),Adventure|Drama|Thriller,Downhill,1927
17836,Duck Soup (1927),Comedy|Short,Duck Soup,1927
17841,"East Side, West Side (1927)",Drama,"East Side, West Side",1927
17843,Easy Virtue (1928),Romance|Thriller,Easy Virtue,1928
17925,The General (1926),Action|Adventure|Comedy|Drama|War|Western,The General,1926
18033,It (1927),Comedy|Romance,It,1927
18037,The Jazz Singer (1927),Drama|Music|Musical|Romance,The Jazz Singer,1927
18051,The Kid Brother (1927),Comedy|Drama|Family|Romance,The Kid Brother,1927
18106,Love 'Em and Weep (1927),Comedy|Short,Love 'Em and Weep,1927
18192,Napoléon (1927),Biography|Drama|History|War,Napoléon,1927
18217,Oktyabr (1928),Drama|History,Oktyabr,1928
18294,Putting Pants on Philip (1927),Comedy|Short,Putting Pants on Philip,1927
18328,The Ring (1927),Drama|Romance|Sport,The Ring,1927
18356,"Sailors, Beware! (1927)",Short|Comedy,"Sailors, Beware!",1927
18368,The Second 100 Years (1927),Comedy|Short,The Second 100 Years,1927
18452,Sugar Daddies (1927),Comedy|Short,Sugar Daddies,1927
18455,Sunrise: A Song of Two Humans (1927),Drama|Romance,Sunrise: A Song of Two Humans,1927
18471,Tell It to the Marines (1926),Comedy|Drama|Romance,Tell It to the Marines,1926
18505,Tretya meshchanskaya (1927),Comedy|Drama,Tretya meshchanskaya,1927
18526,Underworld (1927),Crime|Drama|Film-Noir|Romance,Underworld,1927
18528,The Unknown (1927),Drama|Horror|Romance|Thriller,The Unknown,1927
18578,Wings (1927),Drama|Romance|War|Action,Wings,1927
18583,With Love and Hisses (1927),Comedy|Short,With Love and Hisses,1927
18684,Beggars of Life (1928),Adventure|Drama,Beggars of Life,1928
18737,Die Büchse der Pandora (1929),Crime|Drama|Romance,Die Büchse der Pandora,1929
18742,The Cameraman (1928),Comedy|Romance|Family|Drama,The Cameraman,1928
18773,The Circus (1928),Comedy|Romance,The Circus,1928
18806,The Crowd (1928),Drama|Romance,The Crowd,1928
18839,The Docks of New York (1928),Crime|Drama|Film-Noir|Romance,The Docks of New York,1928
18860,Early to Bed (1928),Comedy|Short,Early to Bed,1928
18876,The Farmer's Wife (1928),Comedy|Drama|Romance,The Farmer's Wife,1928
18890,The Finishing Touch (1928),Comedy|Short,The Finishing Touch,1928
19071,The Last Command (1928),Drama|History|Romance|War,The Last Command,1928
19074,"Laugh, Clown, Laugh (1928)",Drama,"Laugh, Clown, Laugh",1928
19079,Leave 'Em Laughing (1928),Comedy|Short,Leave 'Em Laughing,1928
19109,Lonesome (1928),Comedy|Drama|Romance,Lonesome,1928
19130,The Man Who Laughs (1928),Drama|Horror|Mystery|Romance|Thriller,The Man Who Laughs,1928
19195,The Mysterious Lady (1928),Drama|Romance,The Mysterious Lady,1928
19254,La passion de Jeanne d'Arc (1928),Biography|Drama|History,La passion de Jeanne d'Arc,1928
19286,Potomok Chingis-Khana (1928),Drama|War,Potomok Chingis-Khana,1928
19344,Sadie Thompson (1928),Drama,Sadie Thompson,1928
19376,Should Married Men Go Home? (1928),Comedy|Short,Should Married Men Go Home?,1928
19412,Speedy (1928),Action|Comedy|Family,Speedy,1928
19415,Spione (1928),Romance|Thriller,Spione,1928
19421,"Steamboat Bill, Jr. (1928)",Action|Comedy|Drama|Family|Romance,"Steamboat Bill, Jr.",1928
19422,Steamboat Willie (1928),Animation|Short|Comedy|Family|Musical,Steamboat Willie,1928
19429,Street Angel (1928),Drama,Street Angel,1928
19465,Their Purple Moment (1928),Comedy|Short,Their Purple Moment,1928
19504,Two Tars (1928),Comedy|Short,Two Tars,1928
19509,Underground (1928),Drama|Romance,Underground,1928
19556,We Faw Down (1928),Comedy|Short,We Faw Down,1928
19585,The Wind (1928),Drama|Romance|Western,The Wind,1928
19591,A Woman of Affairs (1928),Drama,A Woman of Affairs,1928
19607,You're Darn Tootin' (1928),Short|Comedy|Music,You're Darn Tootin',1928
19686,Berth Marks (1929),Short|Comedy,Berth Marks,1929
19688,Big Business (1929),Short|Comedy|Family,Big Business,1929
19702,Blackmail (1929),Crime|Thriller,Blackmail,1929
19729,The Broadway Melody (1929),Drama|Musical|Romance,The Broadway Melody,1929
19760,Chelovek s kino-apparatom (1929),Documentary|Music,Chelovek s kino-apparatom,1929
19777,The Cocoanuts (1929),Comedy|Musical,The Cocoanuts,1929
19796,Daigaku wa detakeredo (1929),Comedy,Daigaku wa detakeredo,1929
19832,Double Whoopee (1929),Comedy|Short,Double Whoopee,1929
19838,Drifters (1929),Documentary,Drifters,1929
19901,Frau im Mond (1929),Comedy|Drama|Romance|Sci-Fi,Frau im Mond,1929
19957,Half Marriage (1929),Drama|Romance,Half Marriage,1929
19993,The Hollywood Revue of 1929 (1929),Musical,The Hollywood Revue of 1929,1929
19999,The Hoose-Gow (1929),Comedy|Short,The Hoose-Gow,1929
20030,The Iron Mask (1929),Adventure|Drama|History|Romance,The Iron Mask,1929
20112,The Love Parade (1929),Comedy|Musical|Romance,The Love Parade,1929
20122,Lucky Star (1929),Drama|Romance,Lucky Star,1929
20142,The Manxman (1929),Drama|Romance,The Manxman,1929
20161,Men O'War (1929),Short|Comedy|Family,Men O'War,1929
20163,Menschen am Sonntag (1930),Comedy|Drama|Romance,Menschen am Sonntag,1930
20264,Perfect Day (1929),Short|Comedy,Perfect Day,1929
20286,Prapancha Pash (1929),Adventure|Drama|Romance,Prapancha Pash,1929
20471,Synthetic Sin (1929),Comedy,Synthetic Sin,1929
20475,Tagebuch einer Verlorenen (1929),Drama,Tagebuch einer Verlorenen,1929
20487,That's My Wife (1929),Comedy|Short,That's My Wife,1929
20489,They Go Boom! (1929),Comedy|Short,They Go Boom!,1929
20514,The Trespasser (1929),Drama,The Trespasser,1929
20530,Un chien andalou (1929),Short|Fantasy|Horror,Un chien andalou,1929
20531,Unaccustomed As We Are (1929),Comedy|Short,Unaccustomed As We Are,1929
20572,Welcome Danger (1929),Comedy,Welcome Danger,1929
20581,Where East Is East (1929),Drama|Romance,Where East Is East,1929
20585,Why Be Good? (1929),Comedy|Drama|Romance,Why Be Good?,1929
20629,All Quiet on the Western Front (1930),Drama|War,All Quiet on the Western Front,1930
20640,Animal Crackers (1930),Comedy|Musical,Animal Crackers,1930
20641,Anna Christie (1930),Drama|Romance,Anna Christie,1930
20643,Another Fine Mess (1930),Comedy|Short,Another Fine Mess,1930
20678,Below Zero (1930),Short|Comedy,Below Zero,1930
20686,The Big House (1930),Crime|Drama|Thriller,The Big House,1930
20691,The Big Trail (1930),Adventure|Romance|Western,The Big Trail,1930
20693,Billy the Kid (1930),Biography|Drama|Western,Billy the Kid,1930
20697,Der blaue Engel (1930),Drama|Music,Der blaue Engel,1930
20698,Blotto (1930),Short|Comedy,Blotto,1930
20708,Brats (1930),Comedy|Short|Family,Brats,1930
20768,City Girl (1930),Drama|Romance,City Girl,1930
20827,The Divorcee (1930),Romance|Drama,The Divorcee,1930
20859,Escape! (1930),Crime|Drama,Escape!,1930
20902,Free and Easy (1930),Comedy|Musical,Free and Easy,1930
20927,The Golf Specialist (1930),Short|Comedy|Sport,The Golf Specialist,1930
20960,Hell's Angels (1930),Drama|War,Hell's Angels,1930
20979,Hog Wild (1930),Short|Comedy,Hog Wild,1930
20980,Hogaraka ni ayume (1930),Crime|Drama|Romance,Hogaraka ni ayume,1930
20987,Hook Line and Sinker (1930),Comedy|Romance,Hook Line and Sinker,1930
21013,Journey's End (1930),Drama|War,Journey's End,1930
21054,The Laurel-Hardy Murder Case (1930),Short|Comedy|Crime|Mystery,The Laurel-Hardy Murder Case,1930
21079,Little Caesar (1931),Action|Crime|Drama|Romance,Little Caesar,1931
21156,Morocco (1930),Drama|Romance,Morocco,1930
21165,Murder! (1930),Crime|Mystery|Thriller,Murder!,1930
21182,Night Owls (1930),Short|Comedy,Night Owls,1930
21197,The Office Wife (1930),Drama|Romance,The Office Wife,1930
21283,Rakudai wa shitakeredo (1930),Comedy|Drama,Rakudai wa shitakeredo,1930
21331,Le sang d'un poète (1932),Fantasy,Le sang d'un poète,1932
21406,Sono yo no tsuma (1930),Crime|Drama,Sono yo no tsuma,1930
21409,Sous les toits de Paris (1930),Comedy|Drama|Musical,Sous les toits de Paris,1930
21508,Up the River (1930),Comedy|Crime|Drama,Up the River,1930
21542,Westfront 1918: Vier von der Infanterie (1930),Drama|Romance|War,Westfront 1918: Vier von der Infanterie,1930
21571,Zemlya (1930),Drama,Zemlya,1930
21576,À propos de Nice (1930),Documentary|Short|Comedy,À propos de Nice,1930
21577,L'âge d'or (1930),Comedy|Drama,L'âge d'or,1930
21636,The Bad Sister (1931),Drama,The Bad Sister,1931
21646,Beau Hunks (1931),Short|Comedy,Beau Hunks,1931
21649,Behind Office Doors (1931),Drama|Romance,Behind Office Doors,1931
21684,Born to Love (1931),Drama|Romance|War,Born to Love,1931
21738,Chickens Come Home- (1931),Short|Comedy,Chickens Come Home-,1931
21739,La chienne (1931),Crime|Drama,La chienne,1931
21746,Cimarron (1931),Drama|Western,Cimarron,1931
21749,City Lights (1931),Comedy|Drama|Romance,City Lights,1931
21750,City Streets (1931),Crime|Drama|Film-Noir|Romance,City Streets,1931
21755,Come Clean (1931),Short|Comedy,Come Clean,1931
21772,The Cuban Love Song (1931),Musical|Romance,The Cuban Love Song,1931
21785,Daughter of the Dragon (1931),Crime|Drama,Daughter of the Dragon,1931
21814,Dracula (1931),Fantasy|Horror,Dracula,1931
21815,Drácula (1931),Drama|Fantasy|Horror,Drácula,1931
21861,Fighting Caravans (1931),Romance|Western,Fighting Caravans,1931
21884,Frankenstein (1931),Drama|Horror|Sci-Fi,Frankenstein,1931
21885,A Free Soul (1931),Crime|Drama|Romance,A Free Soul,1931
21890,The Front Page (1931),Comedy,The Front Page,1931
22017,Kameradschaft (1931),Drama,Kameradschaft,1931
22047,The Lady Who Dared (1931),Drama,The Lady Who Dared,1931
22048,Shukujo to hige (1931),Comedy|Romance,Shukujo to hige,1931
22058,Laughing Gravy (1931),Short|Comedy,Laughing Gravy,1931
22080,Limite (1931),Drama|Romance,Limite,1931
22100,M - Eine Stadt sucht einen Mörder (1931),Crime|Mystery|Thriller,M - Eine Stadt sucht einen Mörder,1931
22105,Madamu to nyôbô (1931),Comedy|Drama,Madamu to nyôbô,1931
22117,The Man in Possession (1931),Comedy,The Man in Possession,1931
22125,Marius (1931),Comedy|Drama|Romance,Marius,1931
22149,Millie (1931),Drama|Romance,Millie,1931
22150,Le million (1931),Musical|Comedy,Le million,1931
22158,Monkey Business (1931),Comedy|Musical,Monkey Business,1931
22183,Mädchen in Uniform (1931),Drama|Romance,Mädchen in Uniform,1931
22204,Niemandsland (1931),Drama|War,Niemandsland,1931
22208,Night Nurse (1931),Comedy|Crime|Drama,Night Nurse,1931
22251,Pardon Us (1931),Comedy|Crime|Drama|Musical,Pardon Us,1931
22279,Private Lives (1931),Comedy|Drama|Romance,Private Lives,1931
22286,The Public Enemy (1931),Crime|Drama,The Public Enemy,1931
22335,Safe in Hell (1931),Crime|Drama,Safe in Hell,1931
22339,Santa (1932),Drama,Santa,1932
22395,The Skin Game (1931),Drama,The Skin Game,1931
22397,Skippy (1931),Comedy|Drama|Family,Skippy,1931
22403,Smart Money (1931),Crime|Drama,Smart Money,1931
22404,Smart Woman (1931),Comedy|Drama|Romance,Smart Woman,1931
22454,Svengali (1931),Drama|Horror|Romance|Sci-Fi,Svengali,1931
22458,Tabu: A Story of the South Seas (1931),Drama|Romance|Adventure,Tabu: A Story of the South Seas,1931
22462,"Taris, roi de l'eau (1931)",Documentary|Short|Sport,"Taris, roi de l'eau",1931
22495,Trader Horn (1931),Action|Adventure|Drama|Romance,Trader Horn,1931
22517,Under 18 (1931),Drama|Romance,Under 18,1931
22599,À nous la liberté (1931),Comedy|Musical,À nous la liberté,1931
22628,The Animal Kingdom (1932),Comedy|Drama|Romance,The Animal Kingdom,1932
22630,Any Old Port! (1932),Short|Comedy,Any Old Port!,1932
22694,Das blaue Licht (1932),Drama|Fantasy|Mystery,Das blaue Licht,1932
22718,Boudu sauvé des eaux (1932),Comedy,Boudu sauvé des eaux,1932
22732,Buzzin' Around (1933),Short|Comedy,Buzzin' Around,1933
22778,The Conquerors (1932),Drama|Western,The Conquerors,1932
22782,County Hospital (1932),Short|Comedy,County Hospital,1932
22787,Les croix de bois (1932),Drama|War,Les croix de bois,1932
22792,The Crowd Roars (1932),Action|Drama|Sport,The Crowd Roars,1932
22807,The Dentist (1932),Comedy|Short,The Dentist,1932
22817,The Devil's Cabaret (1930),Comedy|Musical|Short,The Devil's Cabaret,1930
22834,Downstairs (1932),Drama|Romance,Downstairs,1932
22835,Dr. Jekyll and Mr. Hyde (1931),Horror|Sci-Fi,Dr. Jekyll and Mr. Hyde,1931
22879,A Farewell to Arms (1932),Drama|Romance|War,A Farewell to Arms,1932
22882,Fast Life (1932),Comedy|Romance|Sport,Fast Life,1932
22883,The Fatal Glass of Beer (1933),Short|Comedy,The Fatal Glass of Beer,1933
22913,Freaks (1932),Drama|Horror,Freaks,1932
22958,Grand Hotel (1932),Drama|Romance,Grand Hotel,1932
22981,Haunted Gold (1932),Horror|Mystery|Western,Haunted Gold,1932
22991,Hell's House (1932),Drama,Hell's House,1932
22994,Helpmates (1932),Short|Comedy,Helpmates,1932
23027,Horse Feathers (1932),Comedy|Musical|Romance|Sport,Horse Feathers,1932
23037,Las Hurdes (1933),Documentary|Short,Las Hurdes,1933
23042,I Am a Fugitive from a Chain Gang (1932),Crime|Drama|Film-Noir,I Am a Fugitive from a Chain Gang,1932
23049,If I Had a Million (1932),Comedy|Drama,If I Had a Million,1932
23054,The Impassive Footman (1932),Crime|Drama,The Impassive Footman,1932
23130,"Let Me Explain, Dear (1932)",Comedy,"Let Me Explain, Dear",1932
23158,Love Me Tonight (1932),Comedy|Musical|Romance,Love Me Tonight,1932
23180,Man Wanted (1932),Romance|Comedy|Drama,Man Wanted,1932
23194,The Mask of Fu Manchu (1932),Adventure|Horror|Sci-Fi,The Mask of Fu Manchu,1932
23202,Me and My Gal (1932),Comedy|Drama|Romance,Me and My Gal,1932
23213,Merrily We Go to Hell (1932),Comedy|Drama|Romance,Merrily We Go to Hell,1932
23238,The Most Dangerous Game (1932),Action|Adventure|Thriller,The Most Dangerous Game,1932
23245,The Mummy (1932),Fantasy|Horror,The Mummy,1932
23249,Murders in the Rue Morgue (1932),Crime|Horror|Mystery,Murders in the Rue Morgue,1932
23251,The Music Box (1932),Comedy|Short,The Music Box,1932
23266,Night After Night (1932),Comedy|Drama,Night After Night,1932
23285,Number Seventeen (1932),Crime|Mystery|Thriller,Number Seventeen,1932
23293,The Old Dark House (1932),Comedy|Horror|Thriller,The Old Dark House,1932
23300,On the Loose (1931),Comedy|Short,On the Loose,1931
23302,Once in a Lifetime (1932),Comedy,Once in a Lifetime,1932
23303,One Hour with You (1932),Comedy|Musical|Romance,One Hour with You,1932
23305,One Way Passage (1932),Comedy|Drama|Romance,One Way Passage,1932
23312,Pack Up Your Troubles (1932),Comedy|War,Pack Up Your Troubles,1932
23327,Penguin Pool Murder (1932),Comedy|Drama|Mystery|Romance,Penguin Pool Murder,1932
23333,The Phantom Express (1932),Mystery|Thriller,The Phantom Express,1932
23349,Polly of the Circus (1932),Comedy|Drama|Romance,Polly of the Circus,1932
23362,The Purchase Price (1932),Drama|Comedy,The Purchase Price,1932
23369,Rain (1932),Drama,Rain,1932
23395,Rich and Strange (1931),Comedy|Romance|Thriller,Rich and Strange,1931
23427,Scarface (1932),Action|Crime|Drama|Film-Noir|Thriller,Scarface,1932
23439,Scram! (1932),Comedy|Short,Scram!,1932
23458,Shanghai Express (1932),Adventure|Drama|Romance|Thriller,Shanghai Express,1932
23551,Tarzan the Ape Man (1932),Action|Adventure|Romance,Tarzan the Ape Man,1932
23563,Das Testament des Dr. Mabuse (1933),Crime,Das Testament des Dr. Mabuse,1933
23578,Their First Mistake (1932),Comedy|Short,Their First Mistake,1932
23583,The Thirteenth Guest (1932),Mystery|Thriller,The Thirteenth Guest,1932
23590,Three on a Match (1932),Crime|Drama|Romance,Three on a Match,1932
23613,Towed in a Hole (1932),Comedy|Short,Towed in a Hole,1932
