movieId,title,genres,year,tmdb_id,tmdb_title,tmdb_release_date,tmdb_overview,tmdb_runtime,tmdb_genres,tmdb_top_cast,tmdb_keywords
11,"American President, The (1995)",Comedy|Drama|Romance,1995,9087,The American President,1995-11-17,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",113,"Comedy, Drama, Romance","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith","new love, usa president, the white house, class differences, widower, wildlife conservation, lobbyist, romantic"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,12110,Dracula: Dead and Loving It,1995-12-22,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",88,"Comedy, Horror","Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony","vampire, satire, spoof, dracula"
13,Balto (1995),Animation|Children's,1995,21032,Balto,1995-12-22,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",78,"Family, Animation, Adventure","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins","wolf, pet, cartoon, villain, dog-sledding race, alaska, dog, goose, bear attack, dog sled, cartoon wolf, pets, cartoon animal"
14,Nixon (1995),Drama,1995,10858,Nixon,1995-12-22,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,192,"Drama, History","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins","usa president, washington dc, usa, government, presidential election, 1970s, watergate scandal, biography, historical figure, richard nixon, 1960s, ambiguous, disapproving, disdainful, disheartening, earnest, empathetic, frustrated"
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,1408,Cutthroat Island,1995-12-22,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",124,"Action, Adventure","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide","ship, treasure, exotic island, island, map, scalp, treasure map, sword fight, betrayal, pirate, heroine, swashbuckler, adventurer, pirate ship, 17th century"
16,Casino (1995),Drama|Thriller,1995,524,Casino,1995-11-22,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",179,"Crime, Drama","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles","drug abuse, casino, based on novel or book, poker, italian american, gambling, 1970s, fbi, pimp, greed, cocaine, overdose, marriage, car bomb, rise and fall, money, murder, organized crime, mafia, jewish american, las vegas, desert, safe deposit box, 1980s, dramatic, brutal violence, fbi surveillance"
17,Sense and Sensibility (1995),Drama|Romance,1995,4584,Sense and Sensibility,1995-12-13,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",136,"Drama, Romance","Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, Gemma Jones","secret love, london, england, countryside, based on novel or book, widow, military officer, servant, country life, pneumonia, inheritance, period drama, rainstorm, decorum, horse carriage, young love, dowry, social class, 19th century, penniless, social elite, bloodletting, free spirited, sussex, 1800s, sisters love, marry for money, secret engagement, devonshire, england"
18,Four Rooms (1995),Thriller,1995,5,Four Rooms,1995-12-09,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,98,Comedy,"Tim Roth, Jennifer Beals, David Proval, Ione Skye, Madonna","hotel, new year's eve, witch, bet, sperm, hotel room, anthology, los angeles, california, hoodlum, multiple storylines, woman director"
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,9273,Ace Ventura: When Nature Calls,1995-11-10,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",90,"Crime, Comedy, Adventure","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton","kidnapping, africa, indigenous, human animal relationship, bat, stupidity, slapstick comedy, animals, pets"
20,Money Train (1995),Action,1995,11517,Money Train,1995-11-21,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",110,"Action, Comedy, Crime","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper","new york city, sibling relationship, subway, new york subway, train robbery"
21,Get Shorty (1995),Action|Comedy|Drama,1995,8012,Get Shorty,1995-10-20,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",105,"Comedy, Thriller, Crime","John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina","based on novel or book, miami, florida, gambling, gangster, money, murder, travel, mobster, mafia, business, debt, hollywood, drugs, producer, con"
22,Copycat (1995),Crime|Drama|Thriller,1995,1710,Copycat,1995-10-27,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,124,"Thriller, Crime, Mystery","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.","police brutality, psychology, police operation, police protection, psychologist, serial killer, cowardliness"
23,Assassins (1995),Thriller,1995,9691,Assassins,1995-10-06,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",132,"Action, Adventure, Crime, Thriller","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson","rescue, central intelligence agency (cia), hitman, cat, bank, mexican standoff, seattle, washington, mission of murder, hidden camera, rivalry, shootout, police chase, sniper rifle, detroit, michigan, silencer, double cross, caribbean sea"
24,Powder (1995),Drama|Sci-Fi,1995,12665,Powder,1995-10-27,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",111,"Drama, Fantasy","Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith","teenage boy, held at gunpoint, teacher student relationship, albino, fainting, christ allegory, psionic power, healing power, flickering light, extrasensory perception, pale"
25,Leaving Las Vegas (1995),Drama|Romance,1995,451,Leaving Las Vegas,1995-10-27,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",111,"Drama, Romance","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber","hotel room, dying and death, individual, prostitute, lovesickness, rage and hate, casino, unsociability, alcohol, love at first sight, movie business, screenwriter, alcoholism, los angeles, california, las vegas, alcohol abuse, dramatic, depressing, tragic"
26,Othello (1995),Drama,1995,16420,Othello,1995-12-15,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,123,Drama,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney","jealousy, based on play or musical, friends, the moors (people), shakespeare"
27,Now and Then (1995),Drama,1995,9263,Now and Then,1995-10-20,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",100,"Comedy, Drama, Romance","Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann","1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director"
28,Persuasion (1995),Romance,1995,17015,Persuasion,1995-05-01,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",104,"Drama, Romance","Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw, John Woodvine","based on novel or book, napoleonic wars, old flame, admiral"
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,902,The City of Lost Children,1995-05-17,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",112,"Fantasy, Science Fiction, Adventure","Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus","rescue, friendship, island, dreams, clone, dystopia, eye, aging, steampunk, childhood, child kidnapping, flea"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,,,,,,,,
31,Dangerous Minds (1995),Drama,1995,9909,Dangerous Minds,1995-08-11,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",99,Drama,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde","high school, california, rap music, karate, naval officer, teacher, based on memoir or autobiography, amusement park, schoolteacher"
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,63,Twelve Monkeys,1995-12-29,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",129,"Science Fiction, Thriller, Mystery","Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse","biological weapon, philadelphia, pennsylvania, schizophrenia, stockholm syndrome, airplane, world war i, underground, insanity, asylum, paranoia, prison cell, dystopia, pimp, lion, post-apocalyptic future, time travel, florida keys, mental breakdown, melancholy, past, dormitory, insane asylum, cockroach, volunteer, drug use, flashback, remake, psychiatric hospital, jail, mental institution, alternate history, disease, lethal virus, paradox, psychiatrist, monkey, epidemic, trapped, falling down stairs, street life, nonlinear timeline, medical research, tooth, pantyhose, gas mask, psychosis, child's point of view, subterranean, virus, mysterious, recurring dream, 1990s, reflective, escaped animal, future noir, animal research, anxious, 2030s, irreverent, inspirational, absurd, suspenseful, critical, intense, complicated, ominous, preposterous"
33,Wings of Courage (1995),Adventure|Romance,1995,78802,Wings of Courage,1995-06-16,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",50,"Romance, Adventure","Craig Sheffer, Elizabeth McGovern, Tom Hulce, Ken Pogue, Ron Sauvé",
34,Babe (1995),Children's|Comedy|Drama,1995,9598,Babe,1995-07-18,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",92,"Fantasy, Drama, Comedy, Family","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn","farm, sheep, pig, alarm clock, cat, duck, heroism, affection, piglet, anthropomorphism, based on children's book, dog, separation, animals, farmer, grandson, sheepdog, talking pig, christmas"
35,Carrington (1995),Drama|Romance,1995,47018,Carrington,1995-05-25,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",121,"History, Drama, Romance","Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell","england, painter, conscientious objector, soldier, polyamory"
36,Dead Man Walking (1995),Drama,1995,687,Dead Man Walking,1995-12-29,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,122,Drama,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey","prison, death penalty, right and justice, rape, rage and hate, unsociability, court case, court, nun, penalty, therapist, sentence, forgiveness, self-discovery, despair, prison cell, socially deprived family, death row, doomed man, death sentence, lethal injection, charity, mercy petition, cowardliness, angry, dreary, incredulous, depressing, bitter, callous, horrified"
37,Across the Sea of Time (1995),Documentary,1995,139405,Across the Sea of Time,1995-10-20,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.",51,"Adventure, History, Drama, Family","Peter Reznick, John McDonough, Avi Hoffman, Matt Malloy, Abby Lewis",
38,It Takes Two (1995),Comedy,1995,33689,It Takes Two,1995-11-17,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",101,"Comedy, Family, Romance","Kirstie Alley, Steve Guttenberg, Ashley Olsen, Mary-Kate Olsen, Jane Sibbett","matchmaking, orphan, identical twin, relationship sabotage"
39,Clueless (1995),Comedy|Romance,1995,9603,Clueless,1995-07-19,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",97,"Comedy, Romance","Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison","puberty, high school, based on novel or book, make a match, spoiled child, coming of age, matchmaking, conflict, wedding, high school friends, makeover, woman director, popular girl, matchmaker, gay theme, match making"
40,"Cry, the Beloved Country (1995)",Drama,1995,34615,"Cry, the Beloved Country",1995-12-15,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,106,Drama,"Richard Harris, James Earl Jones, Charles S. Dutton, Vusi Kunene, Tsholofelo Wechoemang","based on novel or book, south africa, apartheid, priest, 1940s, race relations"
41,Richard III (1995),Drama|War,1995,31174,Richard III,1995-12-29,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",104,"Drama, War","Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Kristin Scott Thomas","england, kidnapping, murder, king"
42,Dead Presidents (1995),Action|Crime|Drama,1995,11443,Dead Presidents,1995-09-29,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,119,"Action, Crime, Drama, Thriller, War","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson","vietnam, drug abuse, post-traumatic stress disorder (ptsd), war veteran, redemption, loss of virginity, heist, money, revolutinoary, mercy killing, armored truck, bronx, new york city, medic, 1960s"
43,Restoration (1995),Drama,1995,35196,Restoration,1995-12-29,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",117,"Drama, Romance","Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis, Hugh Grant","jealousy, court, fountain, medicine, wealth, spaniel, gloves, 17th century, british monarchy"
44,Mortal Kombat (1995),Action|Adventure,1995,9312,Mortal Kombat,1995-08-18,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",101,"Action, Fantasy","Robin Shou, Linden Ashby, Bridgette Wilson-Sampras, Christopher Lambert, Cary-Hiroyuki Tagawa","island, martial arts, monster, saving the world, magic, villain, gore, god, alternate dimension, ninja, sorcerer, tournament, underground fighting, based on video game, ghost, hand to hand combat, warrior, action hero, supernatural power, mortal kombat, good versus evil"
45,To Die For (1995),Comedy|Drama,1995,577,To Die For,1995-09-22,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",106,"Drama, Comedy, Crime","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas","adultery, based on novel or book, winter, obsession, new hampshire, mockumentary, narcissistic personality disorder, satirical"
46,How to Make an American Quilt (1995),Drama|Romance,1995,11861,How to Make an American Quilt,1995-10-06,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",116,"Drama, Romance","Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons","marriage proposal, wedding vows, married couple, marriage, monogamy, advice, quilt, love, family holiday, extramarital affair, grandmother, woman director"
47,Seven (Se7en) (1995),Crime|Thriller,1995,807,Se7en,1995-09-22,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",127,"Crime, Mystery, Thriller","Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie","rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, investigation, insomnia, murder, serial killer, religion, shootout, corpse, seven deadly sins, shocking, depravity, neo-noir, urban gothic, anxious, suspenseful, intense, depressing, awestruck, disdainful, seven: los siete pecados capitales"
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,10530,Pocahontas,1995-06-16,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",81,"Adventure, Animation, Family, Romance","Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Christian Bale","princess, culture clash, cartoon, villain, colony, forbidden love, musical, gold rush, native american, colonisation, virginia, star crossed lovers, intercultural relationship, based on myths, legends or folklore, 17th century, shamanism, animal sidekick"
49,When Night Is Falling (1995),Drama|Romance,1995,8391,When Night Is Falling,1995-02-01,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",96,"Drama, Romance","Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox, Don McKellar","professor, lgbt, woman director, lesbian"
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,629,The Usual Suspects,1995-07-19,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106,"Drama, Crime, Thriller","Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey","new york city, robbery, affectation, relatives, heist, flashback, police corruption, whodunit, los angeles, california, theft, criminal, criminal mastermind, cargo ship, mind game, shocking, neo-noir, mystery villain, incredulous, rashomon effect"
